EventDate,VenueCity,VenueState,PostalCode,EventType,RSVPS,Official,formattedZipcode,region
10/23/2015 11:00:00,Wheaton,IL,60187,"Volunteer activity (flyering, calling, walking, etc)",1,no,60187,chicago
10/14/2015 0:00:00,Knoxville,TN,37921,Volunteer meeting to get organized or learn more,1,no,37921,knoxville
10/25/2015 16:00:00,Florence,AL,35630,"Volunteer activity (flyering, calling, walking, etc)",0,no,35630,shoals
10/18/2015 16:00:00,Grand Rapids,MI,49548,"Volunteer activity (flyering, calling, walking, etc)",1,no,49548,grandrapids
10/17/2015 13:00:00,Melbourne,FL,32935,Volunteer meeting to get organized or learn more,0,no,32935,spacecoast
10/20/2015 23:00:00,Rockport,MA,1966,Volunteer meeting to get organized or learn more,1,no,01966,boston
10/23/2015 23:00:00,Merritt Island,FL,32952,Volunteer meeting to get organized or learn more,0,no,32952,spacecoast
10/20/2015 15:00:00,Harrisburg,PA,17110,"Volunteer activity (flyering, calling, walking, etc)",1,no,17110,harrisburg
10/14/2015 0:30:00,Gaithersburg,MD,20879,Registering Voters,0,no,20879,washingtondc
10/17/2015 17:00:00,Palo Alto,CA,94301,"Volunteer activity (flyering, calling, walking, etc)",0,no,94301,sfbay
10/18/2015 15:00:00,Roxbury,MA,2119,"Volunteer activity (flyering, calling, walking, etc)",0,no,02119,boston
10/17/2015 17:00:00,South San Francisco,CA,94080,Registering Voters,0,no,94080,sfbay
10/24/2015 16:00:00,Lancaster,OH,43130,"Volunteer activity (flyering, calling, walking, etc)",3,no,43130,columbus
10/23/2015 0:30:00,Chicago,IL,60660,Volunteer meeting to get organized or learn more,3,no,60660,chicago
10/17/2015 12:00:00,Nashville,TN,37206,Registering Voters,0,no,37206,nashville
10/14/2015 0:30:00,Venice,CA,90291,Debate Watch Parties (October 13),0,no,90291,losangeles
10/16/2015 22:00:00,Cocoa Beach,FL,32931,"Volunteer activity (flyering, calling, walking, etc)",0,no,32931,spacecoast
10/14/2015 0:00:00,Milledgeville,GA,31061,Debate Watch Parties (October 13),0,no,31061,macon
10/14/2015 0:00:00,Bethesda,MA,20816,Debate Watch Parties (October 13),0,no,20816,washingtondc
10/24/2015 17:00:00,Redding,CA,96002,Volunteer meeting to get organized or learn more,1,no,96002,redding
10/13/2015 23:00:00,Chicago,IL,60647,Debate Watch Parties (October 13),5,no,60647,chicago
10/16/2015 18:00:00,Port Townsend,WA,98368,Registering Voters,1,no,98368,seattle
10/27/2015 18:00:00,Millersville,PA,17551,"Volunteer activity (flyering, calling, walking, etc)",0,no,17551,lancaster
10/14/2015 0:30:00,Baltimore,MD,21218,Debate Watch Parties (October 13),0,no,21218,baltimore
10/17/2015 14:00:00,Santa Fe,NM,87508,Registering Voters,0,no,87508,santafe
10/14/2015 0:30:00,Upper Darby,PA,19082,Debate Watch Parties (October 13),0,no,19082,philadelphia
10/23/2015 17:00:00,Highland,NY,12528,"Volunteer activity (flyering, calling, walking, etc)",3,no,12528,hudsonvalley
10/23/2015 2:30:00,Davis,CA,95616,Volunteer meeting to get organized or learn more,0,no,95616,sacramento
10/28/2015 21:00:00,Chambersburg,PA,17201,"Volunteer activity (flyering, calling, walking, etc)",0,no,17201,chambersburg
10/24/2015 22:00:00,Davenport,IA,52803,House Party,0,yes,52803,quadcities
10/15/2015 21:00:00,Chambersburg,PA,17201,"Volunteer activity (flyering, calling, walking, etc)",0,no,17201,chambersburg
10/14/2015 0:00:00,Seattle,WA,98119,Debate Watch Parties (October 13),1,no,98119,seattle
10/14/2015 1:00:00,New Orleans,LA,70118,Debate Watch Parties (October 13),1,no,70118,neworleans
10/14/2015 0:00:00,Orlando,FL,32822,Debate Watch Parties (October 13),0,no,32822,orlando
10/18/2015 17:00:00,Carlisle,PA,17013,"Volunteer activity (flyering, calling, walking, etc)",0,no,17013,harrisburg
10/25/2015 17:30:00,Lakewood,OH,44107,"Volunteer activity (flyering, calling, walking, etc)",1,no,44107,cleveland
10/13/2015 23:30:00,Spring,TX,77379,Debate Watch Parties (October 13),0,no,77379,houston
11/1/2015 18:30:00,Lakewood,OH,44107,"Volunteer activity (flyering, calling, walking, etc)",2,no,44107,cleveland
10/14/2015 0:00:00,North Fort Myers,FL,33903,Debate Watch Parties (October 13),0,no,33903,fortmyers
10/17/2015 17:00:00,Evanston,IL,60201,Volunteer meeting to get organized or learn more,9,no,60201,chicago
10/13/2015 23:00:00,Sarasota,FL,34243,Debate Watch Parties (October 13),0,no,34243,sarasota
10/17/2015 15:24:00,Bardstown,KY,40004,"Volunteer activity (flyering, calling, walking, etc)",0,no,40004,louisville
10/14/2015 0:30:00,Oneonta,NY,13820,"Volunteer activity (flyering, calling, walking, etc)",1,no,13820,oneonta
10/14/2015 0:00:00,Hartland,VT,5048,Debate Watch Parties (October 13),0,no,05048,burlington
10/14/2015 0:30:00,Piedmont,CA,94610,Debate Watch Parties (October 13),0,no,94610,sfbay
10/13/2015 23:30:00,Pittsburgh,PA,15201,Debate Watch Parties (October 13),0,no,15201,pittsburgh
10/14/2015 0:00:00,Brookline,MA,2446,Debate Watch Parties (October 13),0,no,02446,boston
11/7/2015 17:00:00,Easton,PA,18042,"Volunteer activity (flyering, calling, walking, etc)",2,no,18042,allentown
10/19/2015 22:00:00,Clermont,FL,34711,Volunteer meeting to get organized or learn more,0,no,34711,orlando
10/14/2015 0:00:00,Troy,NY,12180,Debate Watch Parties (October 13),0,no,12180,albany
10/21/2015 22:30:00,Dayton,OH,45406,Volunteer meeting to get organized or learn more,0,no,45406,dayton
10/14/2015 18:00:00,Albuquerque,NM,87108,Debate Watch Parties (October 13),0,no,87108,albuquerque
10/17/2015 17:00:00,San Francisco,CA,94110,"Volunteer activity (flyering, calling, walking, etc)",1,no,94110,sfbay
10/17/2015 14:00:00,New York,NY,10002,Registering Voters,1,no,10002,newyork
10/14/2015 0:15:00,Goleta,CA,93117,Debate Watch Parties (October 13),0,no,93117,santabarbara
10/16/2015 23:00:00,Bay City,MI,48708,"Volunteer activity (flyering, calling, walking, etc)",0,no,48708,saginaw
10/14/2015 0:00:00,Titusville,FL,32796,Debate Watch Parties (October 13),0,no,32796,spacecoast
10/16/2015 16:00:00,College Park,MD,20742,Volunteer meeting to get organized or learn more,0,no,20742,washingtondc
10/14/2015 0:00:00,Charlottesville,VA,22901,Debate Watch Parties (October 13),0,no,22901,charlottesville
10/16/2015 20:00:00,Parksville,NY,12768,"Volunteer activity (flyering, calling, walking, etc)",0,no,12768,catskills
